,NAME,time,mean_monthly_temp,lot,lon
57,"BANDAR ABBASS INTERNATIONAL, IR",2000-04-01T00:00:00.000000000,21.655292999471328,27.22,56.38
58,"ABADEH, IR",2000-04-01T00:00:00.000000000,7.115722223889577,31.18,52.67
59,"KERMAN, IR",2000-04-01T00:00:00.000000000,9.68449978403686,30.27,56.95
60,"RAFSANJAN, IR",2000-04-01T00:00:00.000000000,10.031521072595012,30.3,56.05
61,"LAMERD, IR",2000-04-01T00:00:00.000000000,19.704435262005518,27.37,53.19
62,"SIRJAN, IR",2000-04-01T00:00:00.000000000,11.104675043420968,29.47,55.72
63,"BUSHEHR, IR",2000-04-01T00:00:00.000000000,18.454701034866673,28.95,50.85
64,"YASOGE, IR",2000-04-01T00:00:00.000000000,6.980365900227127,30.67,51.58
65,"JAM, IR",2000-04-01T00:00:00.000000000,19.679987504387043,27.82,52.35
66,"BANDAR E DAYYER, IR",2000-04-01T00:00:00.000000000,19.80483152042342,27.83,51.93
67,"FASA, IR",2000-04-01T00:00:00.000000000,12.900043928489197,28.89,53.72
68,"LAR, IR",2000-04-01T00:00:00.000000000,18.2636614209336,27.67,54.38
69,"FARSI ISLAND, IR",2000-04-01T00:00:00.000000000,18.037589854113662,27.98,50.18
70,"BAFT, IR",2000-04-01T00:00:00.000000000,8.808970277533149,29.23,56.57
71,"GACHSARAN, IR",2000-04-01T00:00:00.000000000,15.579706369522171,30.34,50.83
72,"KHARG, IR",2000-04-01T00:00:00.000000000,18.220838905243,29.27,50.27
73,"ASALOYEH, IR",2000-04-01T00:00:00.000000000,20.441786410152872,27.48,52.62
74,"SHIRAZ SHAHID DASTGHAIB INTERNATIONAL, IR",2000-04-01T00:00:00.000000000,9.730042433422511,29.54,52.59
75,"PERSIAN GULF AIRPORT, IR",2000-04-01T00:00:00.000000000,-9999.99,27.37,52.73
76,"BANDAR ABBASS INTERNATIONAL, IR",2000-05-01T00:00:00.000000000,29.716087471029596,27.22,56.38
77,"ABADEH, IR",2000-05-01T00:00:00.000000000,16.713076981009294,31.18,52.67
78,"KERMAN, IR",2000-05-01T00:00:00.000000000,18.829881619791706,30.27,56.95
79,"RAFSANJAN, IR",2000-05-01T00:00:00.000000000,19.270868667959064,30.3,56.05
80,"LAMERD, IR",2000-05-01T00:00:00.000000000,28.711299227007487,27.37,53.19
81,"SIRJAN, IR",2000-05-01T00:00:00.000000000,19.91134602400774,29.47,55.72
82,"BUSHEHR, IR",2000-05-01T00:00:00.000000000,26.994872905589318,28.95,50.85
83,"YASOGE, IR",2000-05-01T00:00:00.000000000,16.50209768943506,30.67,51.58
84,"JAM, IR",2000-05-01T00:00:00.000000000,28.83876452931844,27.82,52.35
85,"BANDAR E DAYYER, IR",2000-05-01T00:00:00.000000000,28.510711908066696,27.83,51.93
86,"FASA, IR",2000-05-01T00:00:00.000000000,21.909229514709693,28.89,53.72
